1,Aaron Donald,DT,Rams
2,Drew Brees,QB,Saints
3,Khalil Mack,LB,Bears
4,Pat Mahomes,QB,Chiefs
5,Todd Gurley,RB,Rams
6,Tom Brady,QB,Patriots
7,Antonio Brown,WR,Raiders
8,Aaron Rodgers,QB,Packers
9,Julio Jones,WR,Falcons
10,Von Miller,LB,Broncos
11,Deandre Hopkins,WR,Texans
12,JJ Watt,DE,Texans
13,Michael Thomas,WR,Saints
14,Alvin Kamara,RB,Saints
15,Bobby Wagner,LB,Seahawks
16,Saquon Barkley,RB,Giants
17,Philip Rivers,QB,Chargers
18,Ezekiel Elliott,RB,Cowboys
19,Tyreek Hill,WR,Chiefs
20,Andrew Luck,QB,Colts
21,Travis Kelce,TE,Chiefs
22,Stephon Gilmore,CB,Patriots
23,Odell Beckham Jr.,WR,Browns
24,Luke Kuechly,LB,Panthers
25,Russell Wilson,QB,Seahawks
26,Darius Leonard,LB,Colts
27,Jalen Ramsey,CB,Jaguars
28,Fletcher Cox,DT,Eagles
29,George Kittle,TE,49ers
30,Eddie Jackson,S,Bears
31,Derwin James,S,Chargers
32,Jared Goff,QB,Rams
33,Adam Thielen,WR,Vikings
34,Melvin Gordon,RB,Chargers
35,Davante Adams,WR,Packers
36,Chris Jones,DE,Chiefs
37,Jamal Adams,S,Jets
38,Keenan Allen,WR,Chargers
39,Akiem Hicks,DT,Bears
40,Zach Ertz,TE,Eagles
41,Cameron Jordan,DE,Saints
42,Christian McCaffrey,RB,Panthers
43,David Bakhtiari,T,Packers
44,Ben Roethlisberger,QB,Steelers
45,Demarcus Lawrence,DE,Cowboys
46,Patrick Peterson,CB,Cardinals
47,JuJu Smith-Schuster,WR,Steelers
48,Melvin Ingram,DE,Chargers
49,Myles Garrett,DE,Browns
50,Baker Mayfield,QB,Browns
51,Deshaun Watson,QB,Texans
52,Tyron Smith,T,Cowboys
53,Mike Evans,WR,Buccaneers
54,Calais Campbell,DE,Jaguars
55,Xavien Howard,CB,Dolphins
56,Joey Bosa,DE,Chargers
57,Danielle Hunter,DE,Vikings
58,AJ Green,WR,Bengals
59,Zack Martin,G,Cowboys
60,Larry Fitzgerald,WR,Cardinals
61,Jaylon Smith,LB,Cowboys
62,James Conner,RB,Steelers
63,Jadeveon Clowney,DE,Texans
64,Amari Cooper,WR,Cowboys
65,Jason Pierre-Paul,DE,Buccaneers
66,Eric Ebron,TE,Colts
67,Dee Ford,LB,49ers
68,Phillip Lindsay,RB,Broncos
69,Matt Ryan,QB,Falcons
70,T.Y. Hilton,WR,Colts
71,C.J. Mosley,LB,Jets
72,Jason Kelce,C,Eagles
73,Stefon Diggs,WR,Vikings
74,Leighton Vander-Esch,LB,Cowboys
75,Gerald McCoy,DT,Buccaneers
76,Robert Woods,WR,Rams
77,Taylor Lewan,T,Titans
78,Kirk Cousins,QB,Vikings
79,Geno Atkins,DT,Bengals
80,Mark Ingram,RB,Ravens
81,Trent Williams,T,Redskins
82,Bradley Chubb,LB,Broncos
83,Harrison Smith,S,Vikings
84,Jarvis Landry,WR,Browns
85,Frank Clark,DE,Seahawks
86,Darius Slay,CB,Lions
87,Cam Newton,QB,Panthers
88,Cameron Heyward,DT,Steelers
89,Devin McCourty,S,Patriots
90,Julian Edelman,WR,Patriots
91,Andrew Whitworth,T,Rams
92,Jurrell Casey,DT,Titans
93,TJ Watt,LB,Steelers
94,Mitchell Schwartz,T,Chiefs
95,Kyle Fuller,CB,Bears
96,Carson Wentz,QB,Eagles
97,Byron Jones,CB,Cowboys
98,Tyler Lockett,WR,Seahawks
99,Derrick Henry,RB,Titans
100,Eric Weddle,S,Rams
