Bills,"Orchard Park, New York",New Era Field,"71,608",AFC,east
Dolphins,"Miami Gardens, Florida",Hard Rock Stadium,"64,767",AFC,east
Patriots,"Foxborough, Massachusetts",Gillette Stadium,"65,878",AFC,east
Jets,"East Rutherford, New Jersey",MetLife Stadium,"82,500",AFC,east
Ravens,"Baltimore, Maryland",M&T Bank Stadium,"71,008",AFC,north
Bengals,"Cincinnati, Ohio",Paul Brown Stadium,"65,515",AFC,north
Browns,"Cleveland, Ohio",FirstEnergy Stadium,"67,895",AFC,north
Steelers,"Pittsburgh, Pennsylvania",Heinz Field,"68,400",AFC,north
Texans,"Houston, Texas",NRG Stadium,"71,995",AFC,south
Colts,"Indianapolis, Indiana",Lucas Oil Stadium,"67,000",AFC,south
Jaguars,"Jacksonville, Florida",TIAA Bank Field,"67,814",AFC,south
Titans,"Nashville, Tennessee",Nissan Stadium,"69,143",AFC,south
Broncos,"Denver, Colorado",Empower Field at Mile High,"76,125",AFC,west
Chiefs,"Kansas City, Missouri",Arrowhead Stadium,"76,416",AFC,west
Raiders,"Paradise, Nevada",Allegiant Stadium,"65,000",AFC,west
Chargers,"Inglewood, California",SoFi Stadium,"70,240",AFC,west
Cowboys,"Arlington, Texas",AT&T Stadium,"80,000",NFC,east
Giants,"East Rutherford, New Jersey",MetLife Stadium,"82,500",NFC,east
Eagles,"Philadelphia, Pennsylvania",Lincoln Financial Field,"69,176",NFC,east
Redskins,"Landover, Maryland",FedExField,"82,000",NFC,east
Bears,"Chicago, Illinois",Soldier Field,"61,500",NFC,north
Lions,"Detroit, Michigan",Ford Field,"65,000",NFC,north
Packers,"Green Bay, Wisconsin",Lambeau Field,"81,441",NFC,north
Vikings,"Minneapolis, Minnesota",U.S. Bank Stadium,"66,860",NFC,north
Falcons,"Atlanta, Georgia",Mercedes-Benz Stadium,"71,000",NFC,south
Panthers,"Charlotte, North Carolina",Bank of America Stadium,"75,523",NFC,south
Saints,"New Orleans, Louisiana",Mercedes-Benz Superdome,"73,208",NFC,south
Buccaneers,"Tampa, Florida",Raymond James Stadium,"65,618",NFC,south
Cardinals,"Glendale, Arizona",State Farm Stadium,"63,400",NFC,west
Rams,"Inglewood, California",SoFi Stadium,"70,240",NFC,west
49ers,"Santa Clara, California",Levi's Stadium,"68,500",NFC,west
Seahawks,"Seattle, Washington",CenturyLink Field,"69,000",NFC,west
